 X,Y,Hinc_z
    0.50179E+00,    0.22000E+00,    0.80743E+00
    0.49836E+00,    0.21000E+00,    0.80997E+00
    0.49469E+00,    0.26000E+00,    0.81267E+00
    0.49364E+00,    0.25000E+00,    0.81344E+00
    0.49479E+00,    0.22000E+00,    0.81259E+00
    0.49238E+00,    0.21000E+00,    0.81436E+00
    0.48844E+00,    0.26000E+00,    0.81722E+00
    0.48793E+00,    0.22000E+00,    0.81759E+00
    0.48609E+00,    0.25000E+00,    0.81893E+00
    0.48653E+00,    0.21000E+00,    0.81861E+00
    0.48231E+00,    0.26000E+00,    0.82164E+00
    0.48120E+00,    0.22000E+00,    0.82244E+00
    0.47866E+00,    0.25000E+00,    0.82425E+00
    0.48079E+00,    0.21000E+00,    0.82273E+00
    0.47629E+00,    0.26000E+00,    0.82593E+00
    0.47797E+00,    0.21584E+00,    0.82474E+00
    0.47460E+00,    0.22000E+00,    0.82713E+00
    0.47516E+00,    0.21000E+00,    0.82674E+00
    0.47136E+00,    0.25000E+00,    0.82941E+00
    0.47039E+00,    0.26000E+00,    0.83010E+00
    0.48446E+00,    0.12369E+00,    0.82010E+00
    0.46964E+00,    0.21000E+00,    0.83062E+00
    0.48570E+00,    0.11874E+00,    0.81921E+00
    0.48317E+00,    0.12862E+00,    0.82102E+00
    0.48688E+00,    0.11378E+00,    0.81835E+00
    0.48184E+00,    0.13354E+00,    0.82198E+00
    0.48802E+00,    0.10882E+00,    0.81753E+00
    0.48045E+00,    0.13844E+00,    0.82297E+00
    0.46813E+00,    0.22000E+00,    0.83168E+00
    0.48910E+00,    0.10384E+00,    0.81675E+00
    0.47902E+00,    0.14333E+00,    0.82400E+00
    0.49013E+00,    0.98845E-01,    0.81600E+00
    0.47753E+00,    0.14821E+00,    0.82505E+00
    0.49111E+00,    0.93844E-01,    0.81528E+00
    0.47599E+00,    0.15307E+00,    0.82614E+00
    0.49205E+00,    0.88833E-01,    0.81460E+00
    0.47441E+00,    0.15791E+00,    0.82727E+00
    0.46460E+00,    0.26000E+00,    0.83413E+00
    0.49293E+00,    0.83813E-01,    0.81396E+00
    0.47278E+00,    0.16274E+00,    0.82842E+00
    0.46418E+00,    0.25000E+00,    0.83442E+00
    0.49375E+00,    0.78784E-01,    0.81336E+00
    0.47109E+00,    0.16755E+00,    0.82960E+00
    0.48039E+00,    0.12055E+00,    0.82302E+00
    0.49453E+00,    0.73747E-01,    0.81279E+00
    0.46936E+00,    0.17234E+00,    0.83082E+00
    0.47870E+00,    0.12482E+00,    0.82423E+00
    0.46424E+00,    0.21000E+00,    0.83438E+00
    0.48114E+00,    0.11503E+00,    0.82248E+00
    0.47740E+00,    0.12969E+00,    0.82515E+00
    0.48229E+00,    0.11012E+00,    0.82166E+00
    0.47605E+00,    0.13455E+00,    0.82610E+00
    0.47362E+00,    0.14487E+00,    0.82782E+00
    0.48339E+00,    0.10520E+00,    0.82087E+00
    0.47466E+00,    0.13939E+00,    0.82709E+00
    0.49526E+00,    0.68702E-01,    0.81225E+00
    0.46758E+00,    0.17712E+00,    0.83206E+00
    0.48443E+00,    0.10027E+00,    0.82012E+00
    0.48543E+00,    0.95324E-01,    0.81940E+00
    0.47172E+00,    0.14904E+00,    0.82916E+00
    0.47057E+00,    0.15449E+00,    0.82997E+00
    0.49593E+00,    0.63651E-01,    0.81176E+00
    0.46179E+00,    0.22000E+00,    0.83608E+00
    0.46575E+00,    0.18187E+00,    0.83333E+00
    0.46937E+00,    0.15847E+00,    0.83081E+00
    0.48638E+00,    0.90371E-01,    0.81872E+00
