 x,    y,    V
    0.25000E+00,    0.20000E+00,    0.24634E-02
    0.30000E+00,    0.20000E+00,    0.55258E-02
    0.35000E+00,    0.20000E+00,    0.76154E-02
    0.40000E+00,    0.20000E+00,    0.86136E-02
    0.45000E+00,    0.20000E+00,    0.90798E-02
    0.50000E+00,    0.20000E+00,    0.92167E-02
    0.55000E+00,    0.20000E+00,    0.90798E-02
    0.60000E+00,    0.20000E+00,    0.86136E-02
    0.65000E+00,    0.20000E+00,    0.76154E-02
    0.70000E+00,    0.20000E+00,    0.55258E-02
    0.75000E+00,    0.20000E+00,    0.24634E-02
    0.80000E+00,    0.20000E+00,    0.91623E-03
    0.85000E+00,    0.20000E+00,    0.26789E-02
    0.90000E+00,    0.20000E+00,    0.24919E-02
    0.95000E+00,    0.20000E+00,    0.97707E-03
    0.10000E+01,    0.20000E+00,    0.00000E+00
    0.00000E+00,    0.25000E+00,    0.00000E+00
    0.50000E-01,    0.25000E+00,    0.53982E-02
    0.10000E+00,    0.25000E+00,    0.10807E-01
    0.15000E+00,    0.25000E+00,    0.13533E-01
    0.20000E+00,    0.25000E+00,    0.94415E-02
    0.25000E+00,    0.25000E+00,    0.30788E-02
    0.30000E+00,    0.25000E+00,    0.30973E-02
    0.35000E+00,    0.25000E+00,    0.47234E-02
    0.40000E+00,    0.25000E+00,    0.54088E-02
    0.45000E+00,    0.25000E+00,    0.57056E-02
    0.50000E+00,    0.25000E+00,    0.57904E-02
    0.55000E+00,    0.25000E+00,    0.57056E-02
    0.60000E+00,    0.25000E+00,    0.54088E-02
    0.65000E+00,    0.25000E+00,    0.47234E-02
    0.70000E+00,    0.25000E+00,    0.30973E-02
    0.75000E+00,    0.25000E+00,    0.30788E-02
    0.80000E+00,    0.25000E+00,    0.94415E-02
    0.85000E+00,    0.25000E+00,    0.13533E-01
    0.90000E+00,    0.25000E+00,    0.10807E-01
    0.95000E+00,    0.25000E+00,    0.53982E-02
    0.10000E+01,    0.25000E+00,    0.00000E+00
    0.00000E+00,    0.30000E+00,    0.00000E+00
    0.50000E-01,    0.30000E+00,    0.12222E-01
    0.10000E+00,    0.30000E+00,    0.24153E-01
    0.15000E+00,    0.30000E+00,    0.32447E-01
    0.20000E+00,    0.30000E+00,    0.32801E-01
    0.25000E+00,    0.30000E+00,    0.00000E+00
    0.30000E+00,    0.30000E+00,    0.00000E+00
    0.35000E+00,    0.30000E+00,    0.00000E+00
    0.40000E+00,    0.30000E+00,    0.00000E+00
    0.45000E+00,    0.30000E+00,    0.00000E+00
    0.50000E+00,    0.30000E+00,    0.00000E+00
    0.55000E+00,    0.30000E+00,    0.00000E+00
    0.60000E+00,    0.30000E+00,    0.00000E+00
    0.65000E+00,    0.30000E+00,    0.00000E+00
    0.70000E+00,    0.30000E+00,    0.00000E+00
    0.75000E+00,    0.30000E+00,    0.00000E+00
    0.80000E+00,    0.30000E+00,    0.32801E-01
    0.85000E+00,    0.30000E+00,    0.32447E-01
    0.90000E+00,    0.30000E+00,    0.24153E-01
    0.95000E+00,    0.30000E+00,    0.12222E-01
    0.10000E+01,    0.30000E+00,    0.00000E+00
    0.00000E+00,    0.35000E+00,    0.00000E+00
    0.50000E-01,    0.35000E+00,    0.21686E-01
    0.10000E+00,    0.35000E+00,    0.43131E-01
    0.15000E+00,    0.35000E+00,    0.61309E-01
    0.20000E+00,    0.35000E+00,    0.71654E-01
    0.25000E+00,    0.35000E+00,    0.78214E-01
    0.30000E+00,    0.35000E+00,    0.83015E-01
    0.35000E+00,    0.35000E+00,    0.90052E-01
    0.40000E+00,    0.35000E+00,    0.95565E-01
    0.45000E+00,    0.35000E+00,    0.98967E-01
    0.50000E+00,    0.35000E+00,    0.10011E+00
    0.55000E+00,    0.35000E+00,    0.98967E-01
    0.60000E+00,    0.35000E+00,    0.95565E-01
    0.65000E+00,    0.35000E+00,    0.90052E-01
    0.70000E+00,    0.35000E+00,    0.83015E-01
    0.75000E+00,    0.35000E+00,    0.78214E-01
    0.80000E+00,    0.35000E+00,    0.71654E-01
    0.85000E+00,    0.35000E+00,    0.61309E-01
    0.90000E+00,    0.35000E+00,    0.43131E-01
    0.95000E+00,    0.35000E+00,    0.21686E-01
    0.10000E+01,    0.35000E+00,    0.00000E+00
    0.00000E+00,    0.40000E+00,    0.00000E+00
    0.50000E-01,    0.40000E+00,    0.33722E-01
    0.10000E+00,    0.40000E+00,    0.67588E-01
    0.15000E+00,    0.40000E+00,    0.99089E-01
    0.20000E+00,    0.40000E+00,    0.12665E+00
    0.25000E+00,    0.40000E+00,    0.14967E+00
    0.30000E+00,    0.40000E+00,    0.16884E+00
    0.35000E+00,    0.40000E+00,    0.18421E+00
    0.40000E+00,    0.40000E+00,    0.19560E+00
    0.45000E+00,    0.40000E+00,    0.20246E+00
    0.50000E+00,    0.40000E+00,    0.20475E+00
    0.55000E+00,    0.40000E+00,    0.20246E+00
    0.60000E+00,    0.40000E+00,    0.19560E+00
    0.65000E+00,    0.40000E+00,    0.18421E+00
    0.70000E+00,    0.40000E+00,    0.16884E+00
    0.75000E+00,    0.40000E+00,    0.14967E+00
    0.80000E+00,    0.40000E+00,    0.12665E+00
    0.85000E+00,    0.40000E+00,    0.99089E-01
    0.90000E+00,    0.40000E+00,    0.67588E-01
    0.95000E+00,    0.40000E+00,    0.33722E-01
    0.10000E+01,    0.40000E+00,    0.00000E+00
    0.00000E+00,    0.45000E+00,    0.00000E+00
    0.50000E-01,    0.45000E+00,    0.47953E-01
    0.10000E+00,    0.45000E+00,    0.96653E-01
    0.15000E+00,    0.45000E+00,    0.14415E+00
    0.20000E+00,    0.45000E+00,    0.18833E+00
    0.25000E+00,    0.45000E+00,    0.22732E+00
    0.30000E+00,    0.45000E+00,    0.25971E+00
    0.35000E+00,    0.45000E+00,    0.28475E+00
    0.40000E+00,    0.45000E+00,    0.30227E+00
    0.45000E+00,    0.45000E+00,    0.31253E+00
    0.50000E+00,    0.45000E+00,    0.31590E+00
    0.55000E+00,    0.45000E+00,    0.31253E+00
    0.60000E+00,    0.45000E+00,    0.30227E+00
    0.65000E+00,    0.45000E+00,    0.28475E+00
    0.70000E+00,    0.45000E+00,    0.25971E+00
    0.75000E+00,    0.45000E+00,    0.22732E+00
    0.80000E+00,    0.45000E+00,    0.18833E+00
    0.85000E+00,    0.45000E+00,    0.14415E+00
    0.90000E+00,    0.45000E+00,    0.96653E-01
    0.95000E+00,    0.45000E+00,    0.47953E-01
    0.10000E+01,    0.45000E+00,    0.00000E+00
    0.00000E+00,    0.50000E+00,    0.00000E+00
    0.50000E-01,    0.50000E+00,    0.63677E-01
    0.10000E+00,    0.50000E+00,    0.12912E+00
    0.15000E+00,    0.50000E+00,    0.19470E+00
    0.20000E+00,    0.50000E+00,    0.25747E+00
    0.25000E+00,    0.50000E+00,    0.31369E+00
    0.30000E+00,    0.50000E+00,    0.36000E+00
    0.35000E+00,    0.50000E+00,    0.39473E+00
    0.40000E+00,    0.50000E+00,    0.41801E+00
    0.45000E+00,    0.50000E+00,    0.43112E+00
    0.50000E+00,    0.50000E+00,    0.43532E+00
    0.55000E+00,    0.50000E+00,    0.43112E+00
    0.60000E+00,    0.50000E+00,    0.41801E+00
    0.65000E+00,    0.50000E+00,    0.39473E+00
    0.70000E+00,    0.50000E+00,    0.36000E+00
    0.75000E+00,    0.50000E+00,    0.31369E+00
    0.80000E+00,    0.50000E+00,    0.25747E+00
    0.85000E+00,    0.50000E+00,    0.19470E+00
    0.90000E+00,    0.50000E+00,    0.12912E+00
    0.95000E+00,    0.50000E+00,    0.63677E-01
    0.10000E+01,    0.50000E+00,    0.00000E+00
    0.00000E+00,    0.55000E+00,    0.00000E+00
    0.50000E-01,    0.55000E+00,    0.79626E-01
    0.10000E+00,    0.55000E+00,    0.16309E+00
    0.15000E+00,    0.55000E+00,    0.24963E+00
    0.20000E+00,    0.55000E+00,    0.33519E+00
    0.25000E+00,    0.55000E+00,    0.41232E+00
    0.30000E+00,    0.55000E+00,    0.47430E+00
    0.35000E+00,    0.55000E+00,    0.51802E+00
    0.40000E+00,    0.55000E+00,    0.54531E+00
    0.45000E+00,    0.55000E+00,    0.55970E+00
    0.50000E+00,    0.55000E+00,    0.56419E+00
    0.55000E+00,    0.55000E+00,    0.55970E+00
    0.60000E+00,    0.55000E+00,    0.54531E+00
    0.65000E+00,    0.55000E+00,    0.51802E+00
    0.70000E+00,    0.55000E+00,    0.47430E+00
    0.75000E+00,    0.55000E+00,    0.41232E+00
    0.80000E+00,    0.55000E+00,    0.33519E+00
    0.85000E+00,    0.55000E+00,    0.24963E+00
    0.90000E+00,    0.55000E+00,    0.16309E+00
    0.95000E+00,    0.55000E+00,    0.79626E-01
    0.10000E+01,    0.55000E+00,    0.00000E+00
    0.00000E+00,    0.60000E+00,    0.00000E+00
    0.50000E-01,    0.60000E+00,    0.93683E-01
    0.10000E+00,    0.60000E+00,    0.19434E+00
    0.15000E+00,    0.60000E+00,    0.30620E+00
    0.20000E+00,    0.60000E+00,    0.42255E+00
    0.25000E+00,    0.60000E+00,    0.52997E+00
    0.30000E+00,    0.60000E+00,    0.60981E+00
    0.35000E+00,    0.60000E+00,    0.65984E+00
    0.40000E+00,    0.60000E+00,    0.68582E+00
    0.45000E+00,    0.60000E+00,    0.69865E+00
    0.50000E+00,    0.60000E+00,    0.70253E+00
    0.55000E+00,    0.60000E+00,    0.69865E+00
    0.60000E+00,    0.60000E+00,    0.68582E+00
    0.65000E+00,    0.60000E+00,    0.65984E+00
    0.70000E+00,    0.60000E+00,    0.60981E+00
    0.75000E+00,    0.60000E+00,    0.52997E+00
    0.80000E+00,    0.60000E+00,    0.42255E+00
    0.85000E+00,    0.60000E+00,    0.30620E+00
    0.90000E+00,    0.60000E+00,    0.19434E+00
    0.95000E+00,    0.60000E+00,    0.93683E-01
    0.10000E+01,    0.60000E+00,    0.00000E+00
    0.00000E+00,    0.65000E+00,    0.00000E+00
    0.50000E-01,    0.65000E+00,    0.10296E+00
    0.10000E+00,    0.65000E+00,    0.21625E+00
    0.15000E+00,    0.65000E+00,    0.34931E+00
    0.20000E+00,    0.65000E+00,    0.52446E+00
    0.25000E+00,    0.65000E+00,    0.67766E+00
    0.30000E+00,    0.65000E+00,    0.78702E+00
    0.35000E+00,    0.65000E+00,    0.82227E+00
    0.40000E+00,    0.65000E+00,    0.83876E+00
    0.45000E+00,    0.65000E+00,    0.84645E+00
    0.50000E+00,    0.65000E+00,    0.84873E+00
    0.55000E+00,    0.65000E+00,    0.84645E+00
    0.60000E+00,    0.65000E+00,    0.83876E+00
    0.65000E+00,    0.65000E+00,    0.82227E+00
    0.70000E+00,    0.65000E+00,    0.78702E+00
    0.75000E+00,    0.65000E+00,    0.67766E+00
    0.80000E+00,    0.65000E+00,    0.52446E+00
    0.85000E+00,    0.65000E+00,    0.34931E+00
    0.90000E+00,    0.65000E+00,    0.21625E+00
    0.95000E+00,    0.65000E+00,    0.10296E+00
    0.10000E+01,    0.65000E+00,    0.00000E+00
    0.00000E+00,    0.70000E+00,    0.00000E+00
    0.50000E-01,    0.70000E+00,    0.10482E+00
    0.10000E+00,    0.70000E+00,    0.22133E+00
    0.15000E+00,    0.70000E+00,    0.36321E+00
    0.20000E+00,    0.70000E+00,    0.55103E+00
    0.25000E+00,    0.70000E+00,    0.99944E+00
    0.30000E+00,    0.70000E+00,    0.99944E+00
    0.35000E+00,    0.70000E+00,    0.99944E+00
    0.40000E+00,    0.70000E+00,    0.99944E+00
    0.45000E+00,    0.70000E+00,    0.99944E+00
    0.50000E+00,    0.70000E+00,    0.99944E+00
    0.55000E+00,    0.70000E+00,    0.99944E+00
    0.60000E+00,    0.70000E+00,    0.99944E+00
    0.65000E+00,    0.70000E+00,    0.99944E+00
    0.70000E+00,    0.70000E+00,    0.99944E+00
    0.75000E+00,    0.70000E+00,    0.99944E+00
    0.80000E+00,    0.70000E+00,    0.55103E+00
    0.85000E+00,    0.70000E+00,    0.36321E+00
    0.90000E+00,    0.70000E+00,    0.22133E+00
    0.95000E+00,    0.70000E+00,    0.10482E+00
    0.10000E+01,    0.70000E+00,    0.00000E+00
    0.00000E+00,    0.75000E+00,    0.00000E+00
    0.50000E-01,    0.75000E+00,    0.98077E-01
    0.10000E+00,    0.75000E+00,    0.20662E+00
    0.15000E+00,    0.75000E+00,    0.33522E+00
    0.20000E+00,    0.75000E+00,    0.50629E+00
    0.25000E+00,    0.75000E+00,    0.65591E+00
    0.30000E+00,    0.75000E+00,    0.76225E+00
    0.35000E+00,    0.75000E+00,    0.79509E+00
    0.40000E+00,    0.75000E+00,    0.80984E+00
    0.45000E+00,    0.75000E+00,    0.81647E+00
    0.50000E+00,    0.75000E+00,    0.81840E+00
    0.55000E+00,    0.75000E+00,    0.81647E+00
    0.60000E+00,    0.75000E+00,    0.80984E+00
    0.65000E+00,    0.75000E+00,    0.79509E+00
    0.70000E+00,    0.75000E+00,    0.76225E+00
    0.75000E+00,    0.75000E+00,    0.65591E+00
    0.80000E+00,    0.75000E+00,    0.50629E+00
    0.85000E+00,    0.75000E+00,    0.33522E+00
    0.90000E+00,    0.75000E+00,    0.20662E+00
    0.95000E+00,    0.75000E+00,    0.98077E-01
    0.10000E+01,    0.75000E+00,    0.00000E+00
    0.00000E+00,    0.80000E+00,    0.00000E+00
    0.50000E-01,    0.80000E+00,    0.83783E-01
    0.10000E+00,    0.80000E+00,    0.17483E+00
    0.15000E+00,    0.80000E+00,    0.27764E+00
    0.20000E+00,    0.80000E+00,    0.38575E+00
    0.25000E+00,    0.80000E+00,    0.48594E+00
    0.30000E+00,    0.80000E+00,    0.55969E+00
    0.35000E+00,    0.80000E+00,    0.60488E+00
    0.40000E+00,    0.80000E+00,    0.62736E+00
    0.45000E+00,    0.80000E+00,    0.63806E+00
    0.50000E+00,    0.80000E+00,    0.64123E+00
    0.55000E+00,    0.80000E+00,    0.63806E+00
    0.60000E+00,    0.80000E+00,    0.62736E+00
    0.65000E+00,    0.80000E+00,    0.60488E+00
    0.70000E+00,    0.80000E+00,    0.55969E+00
    0.75000E+00,    0.80000E+00,    0.48594E+00
    0.80000E+00,    0.80000E+00,    0.38575E+00
    0.85000E+00,    0.80000E+00,    0.27764E+00
    0.90000E+00,    0.80000E+00,    0.17483E+00
    0.95000E+00,    0.80000E+00,    0.83783E-01
