 X,Y,Hscat_real_z,Hscat_imag_z
    0.66188E+00,    0.25000E+00,   -0.83061E+00,   -0.73192E+00
    0.66143E+00,    0.22000E+00,    0.82277E-01,   -0.23256E-01
    0.66212E+00,    0.21000E+00,    0.57711E-01,   -0.44377E-01
    0.65477E+00,    0.26000E+00,    0.85362E+00,    0.45305E-01
    0.65195E+00,    0.25000E+00,   -0.24085E+00,    0.93891E+00
    0.65326E+00,    0.21000E+00,    0.23471E-01,    0.12086E-02
    0.65173E+00,    0.22000E+00,    0.61507E-01,    0.31358E-01
    0.64584E+00,    0.26000E+00,    0.21657E+00,    0.11163E+01
    0.64203E+00,    0.25000E+00,    0.82264E+00,    0.55363E+00
    0.64453E+00,    0.21000E+00,    0.42122E-01,    0.33649E-01
    0.64217E+00,    0.22000E+00,    0.21833E-01,    0.26484E-01
    0.63704E+00,    0.26000E+00,   -0.81243E+00,    0.36649E-01
    0.63595E+00,    0.21000E+00,    0.72700E-01,   -0.36278E-02
    0.63224E+00,    0.25000E+00,    0.25446E+00,   -0.11074E+01
    0.63276E+00,    0.22000E+00,    0.31044E-01,   -0.28739E-01
    0.62838E+00,    0.26000E+00,   -0.25020E+00,   -0.12268E+01
    0.62750E+00,    0.21000E+00,    0.51321E-01,   -0.44142E-01
    0.62258E+00,    0.25000E+00,   -0.76393E+00,   -0.58338E+00
    0.62350E+00,    0.22000E+00,    0.63729E-01,   -0.24233E-01
    0.61985E+00,    0.26000E+00,    0.76428E+00,   -0.37102E+00
    0.61920E+00,    0.21000E+00,    0.12647E-01,   -0.15729E-01
    0.61306E+00,    0.25000E+00,   -0.24300E+00,    0.10499E+01
    0.61438E+00,    0.22000E+00,    0.50401E-01,    0.30010E-01
    0.61145E+00,    0.26000E+00,    0.38673E+00,    0.10756E+01
    0.61103E+00,    0.21000E+00,    0.22443E-01,    0.31090E-01
    0.60367E+00,    0.25000E+00,    0.73763E+00,    0.53359E+00
    0.60541E+00,    0.22000E+00,    0.11696E-01,    0.25466E-01
    0.60319E+00,    0.26000E+00,   -0.60049E+00,    0.60300E+00
    0.60300E+00,    0.21000E+00,    0.55706E-01,    0.14285E-01
    0.59506E+00,    0.26000E+00,   -0.58763E+00,   -0.98166E+00
    0.59658E+00,    0.22000E+00,    0.14534E-01,   -0.29484E-01
    0.59441E+00,    0.25000E+00,    0.37758E+00,   -0.11339E+01
    0.59510E+00,    0.21000E+00,    0.49622E-01,   -0.37163E-01
    0.58706E+00,    0.26000E+00,    0.42978E+00,   -0.10854E+01
    0.58790E+00,    0.22000E+00,    0.46194E-01,   -0.32062E-01
    0.58529E+00,    0.25000E+00,   -0.66026E+00,   -0.78272E+00
    0.58735E+00,    0.21000E+00,    0.13543E-01,   -0.38289E-01
    0.57919E+00,    0.26000E+00,    0.77484E+00,    0.42575E+00
    0.57936E+00,    0.22000E+00,    0.45679E-01,    0.20581E-01
    0.57972E+00,    0.21000E+00,    0.15444E-02,    0.11156E-01
    0.57630E+00,    0.25000E+00,   -0.45188E+00,    0.89606E+00
    0.57145E+00,    0.26000E+00,   -0.21663E+00,    0.10598E+01
    0.57223E+00,    0.21000E+00,    0.27862E-01,    0.33499E-01
    0.57097E+00,    0.22000E+00,    0.10690E-01,    0.33590E-01
    0.56744E+00,    0.25000E+00,    0.66472E+00,    0.64321E+00
    0.56385E+00,    0.26000E+00,   -0.80473E+00,   -0.19960E+00
    0.56488E+00,    0.21000E+00,    0.49896E-01,   -0.48630E-02
    0.56272E+00,    0.22000E+00,   -0.29958E-02,   -0.16058E-01
    0.55872E+00,    0.25000E+00,    0.61908E+00,   -0.10294E+01
    0.55637E+00,    0.26000E+00,    0.34697E-01,   -0.12900E+01
    0.55765E+00,    0.21000E+00,    0.27777E-01,   -0.44342E-01
    0.55461E+00,    0.22000E+00,    0.26072E-01,   -0.39822E-01
    0.55012E+00,    0.25000E+00,   -0.47534E+00,   -0.92050E+00
    0.54902E+00,    0.26000E+00,    0.83572E+00,   -0.51582E+00
    0.55056E+00,    0.21000E+00,   -0.62449E-02,   -0.24564E-01
    0.54665E+00,    0.22000E+00,    0.44082E-01,    0.35722E-02
    0.54180E+00,    0.26000E+00,    0.38110E+00,    0.90029E+00
    0.54166E+00,    0.25000E+00,   -0.65704E+00,    0.71483E+00
    0.54359E+00,    0.21000E+00,    0.66644E-03,    0.22477E-01
    0.53882E+00,    0.22000E+00,    0.16787E-01,    0.34951E-01
    0.53470E+00,    0.26000E+00,   -0.59147E+00,    0.83679E+00
    0.53676E+00,    0.21000E+00,    0.34023E-01,    0.25215E-01
    0.53333E+00,    0.25000E+00,    0.38623E+00,    0.89832E+00
    0.53114E+00,    0.22000E+00,   -0.11857E-01,   -0.48659E-03
    0.52772E+00,    0.26000E+00,   -0.68847E+00,   -0.59768E+00
    0.53005E+00,    0.21000E+00,    0.39729E-01,   -0.19317E-01
    0.52514E+00,    0.25000E+00,    0.87868E+00,   -0.67805E+00
    0.52360E+00,    0.22000E+00,    0.13283E-02,   -0.42217E-01
    0.52346E+00,    0.21000E+00,    0.10113E-01,   -0.47894E-01
    0.52088E+00,    0.26000E+00,    0.34730E+00,   -0.12726E+01
    0.51707E+00,    0.25000E+00,   -0.10420E+00,   -0.11946E+01
    0.51619E+00,    0.22000E+00,    0.31892E-01,   -0.23728E-01
    0.51700E+00,    0.21000E+00,   -0.14917E-01,   -0.22941E-01
    0.51415E+00,    0.26000E+00,    0.93198E+00,   -0.25798E+00
    0.50913E+00,    0.25000E+00,   -0.84717E+00,    0.21722E+00
    0.51067E+00,    0.21000E+00,   -0.48551E-02,    0.20742E-01
    0.50754E+00,    0.26000E+00,    0.15147E+00,    0.91610E+00
    0.50892E+00,    0.22000E+00,    0.30223E-01,    0.23396E-01
    0.50445E+00,    0.21000E+00,    0.27419E-01,    0.24359E-01
    0.50132E+00,    0.25000E+00,   -0.85845E-01,    0.10099E+01
    0.50106E+00,    0.26000E+00,   -0.77945E+00,    0.65544E+00
    0.50179E+00,    0.22000E+00,   -0.49879E-02,    0.23774E-01
    0.49836E+00,    0.21000E+00,    0.35657E-01,   -0.15905E-01
    0.49469E+00,    0.26000E+00,   -0.61117E+00,   -0.65798E+00
    0.49364E+00,    0.25000E+00,    0.91877E+00,   -0.12127E+00
    0.49479E+00,    0.22000E+00,   -0.20460E-01,   -0.22578E-01
    0.49238E+00,    0.21000E+00,    0.63067E-02,   -0.46175E-01
    0.48844E+00,    0.26000E+00,    0.41426E+00,   -0.12626E+01
    0.48793E+00,    0.22000E+00,    0.57167E-02,   -0.42170E-01
    0.48609E+00,    0.25000E+00,    0.50194E+00,   -0.12430E+01
    0.48653E+00,    0.21000E+00,   -0.21742E-01,   -0.29171E-01
    0.48231E+00,    0.26000E+00,    0.99012E+00,   -0.38738E+00
    0.48120E+00,    0.22000E+00,    0.31409E-01,   -0.70525E-02
    0.47866E+00,    0.25000E+00,   -0.68345E+00,   -0.53379E+00
    0.48079E+00,    0.21000E+00,   -0.14133E-01,    0.11602E-01
    0.47629E+00,    0.26000E+00,    0.28193E+00,    0.72690E+00
    0.47797E+00,    0.21584E+00,    0.12557E-01,    0.90853E-02
    0.47460E+00,    0.22000E+00,    0.46110E-02,    0.21140E-01
    0.47516E+00,    0.21000E+00,    0.23392E-01,    0.13021E-01
    0.47136E+00,    0.25000E+00,   -0.66282E+00,    0.75151E+00
    0.47039E+00,    0.26000E+00,   -0.75202E+00,    0.67629E+00
    0.48446E+00,    0.12369E+00,    0.31173E-01,   -0.67724E-02
    0.46964E+00,    0.21000E+00,    0.24534E-01,   -0.18114E-01
    0.48570E+00,    0.11874E+00,   -0.52679E-02,   -0.27500E-01
    0.48317E+00,    0.12862E+00,    0.10002E-01,    0.28403E-01
    0.48688E+00,    0.11378E+00,   -0.24871E-01,    0.84817E-02
    0.48184E+00,    0.13354E+00,   -0.24915E-01,    0.72082E-02
    0.48802E+00,    0.10882E+00,    0.10847E-01,    0.28299E-01
    0.48045E+00,    0.13844E+00,   -0.38023E-02,   -0.28079E-01
    0.46813E+00,    0.22000E+00,   -0.19697E-01,   -0.50311E-02
    0.48910E+00,    0.10384E+00,    0.30676E-01,   -0.75281E-02
    0.47902E+00,    0.14333E+00,    0.32008E-01,   -0.73773E-02
    0.49013E+00,    0.98845E-01,   -0.50030E-02,   -0.27883E-01
    0.47753E+00,    0.14821E+00,    0.10653E-01,    0.28959E-01
    0.49111E+00,    0.93844E-01,   -0.25483E-01,    0.75916E-02
    0.47599E+00,    0.15307E+00,   -0.24450E-01,    0.72641E-02
    0.49205E+00,    0.88833E-01,    0.97683E-02,    0.28192E-01
    0.47441E+00,    0.15791E+00,   -0.16070E-02,   -0.28520E-01
    0.46460E+00,    0.26000E+00,   -0.76293E+00,   -0.34445E+00
    0.49293E+00,    0.83813E-01,    0.30432E-01,   -0.73337E-02
    0.47278E+00,    0.16274E+00,    0.32984E-01,   -0.34861E-02
    0.46418E+00,    0.25000E+00,    0.47561E+00,    0.52498E+00
    0.49375E+00,    0.78784E-01,   -0.63403E-02,   -0.27685E-01
    0.47109E+00,    0.16755E+00,    0.82339E-02,    0.29212E-01
    0.48039E+00,    0.12055E+00,    0.66358E-02,   -0.44554E-02
    0.49453E+00,    0.73747E-01,   -0.25654E-01,    0.85521E-02
    0.46936E+00,    0.17234E+00,   -0.24271E-01,    0.46297E-02
    0.47870E+00,    0.12482E+00,    0.69129E-02,    0.32164E-02
    0.46424E+00,    0.21000E+00,    0.91867E-03,   -0.39850E-01
    0.48114E+00,    0.11503E+00,   -0.12954E-02,   -0.20711E-02
    0.47740E+00,    0.12969E+00,    0.67488E-03,    0.48201E-02
    0.48229E+00,    0.11012E+00,    0.69348E-03,    0.49965E-02
    0.47605E+00,    0.13455E+00,   -0.79177E-03,   -0.22264E-02
    0.47362E+00,    0.14487E+00,    0.83767E-02,    0.42051E-02
    0.48339E+00,    0.10520E+00,    0.69022E-02,    0.31512E-02
    0.47466E+00,    0.13939E+00,    0.58265E-02,   -0.34207E-02
    0.49526E+00,    0.68702E-01,    0.10247E-01,    0.28167E-01
    0.46758E+00,    0.17712E+00,    0.49747E-03,   -0.28279E-01
    0.48443E+00,    0.10027E+00,    0.47959E-02,   -0.40471E-02
    0.48543E+00,    0.95324E-01,   -0.16659E-02,   -0.23788E-02
    0.47172E+00,    0.14904E+00,    0.13053E-02,    0.43412E-02
    0.47057E+00,    0.15449E+00,   -0.15538E-03,   -0.29704E-02
    0.49593E+00,    0.63651E-01,    0.29856E-01,   -0.78285E-02
